traj_id,coordinates
52,"[[116.294197  39.863781]
 [116.29409   39.866043]
 [116.291039  39.866104]
 [116.287949  39.86581 ]
 [116.285355  39.865707]
 [116.282928  39.86726 ]
 [116.280258  39.871197]
 [116.277946  39.875946]
 [116.277039  39.878376]
 [116.276161  39.880753]
 [116.275505  39.882545]
 [116.274635  39.885174]
 [116.274605  39.896873]
 [116.274307  39.899971]
 [116.270416  39.900261]
 [116.267448  39.900288]
 [116.264992  39.900253]
 [116.264587  39.898083]
 [116.264587  39.895432]
 [116.264503  39.892906]
 [116.264542  39.890221]
 [116.26786   39.889492]
 [116.271103  39.889427]
 [116.273712  39.888321]
 [116.274704  39.884274]
 [116.275673  39.881649]
 [116.277077  39.877716]
 [116.277893  39.87553 ]
 [116.279533  39.871914]
 [116.28093   39.869835]
 [116.282127  39.867851]
 [116.283844  39.86578 ]
 [116.286819  39.865402]
 [116.294174  39.866028]
 [116.298615  39.866409]
 [116.303566  39.866753]
 [116.306152  39.86694 ]
 [116.30851   39.867104]
 [116.311134  39.867283]
 [116.316101  39.867573]
 [116.318466  39.867706]
 [116.322777  39.867943]
 [116.327873  39.868031]
 [116.330322  39.868019]
 [116.336014  39.868031]
 [116.342789  39.868046]
 [116.348495  39.868069]
 [116.352974  39.868149]
 [116.357605  39.868256]
 [116.361732  39.868607]
 [116.364243  39.868973]
 [116.364258  39.871025]
 [116.364227  39.871483]]"
54,"[[116.273994  39.936714]
 [116.274353  39.934029]
 [116.274666  39.931507]
 [116.275047  39.928501]
 [116.275009  39.925606]
 [116.273926  39.923218]
 [116.276978  39.924149]
 [116.281784  39.924183]
 [116.284615  39.924107]
 [116.287964  39.924026]
 [116.292336  39.923946]
 [116.296204  39.922516]
 [116.295975  39.918797]
 [116.298676  39.917309]
 [116.300766  39.91637 ]
 [116.302124  39.914894]
 [116.302086  39.91283 ]
 [116.302094  39.910568]
 [116.301933  39.907661]
 [116.300766  39.907722]]"
56,"[[116.276161  39.870762]
 [116.277328  39.872303]
 [116.280418  39.870476]
 [116.281754  39.868496]
 [116.283882  39.865738]
 [116.28688   39.865368]
 [116.293747  39.866062]
 [116.297485  39.866322]
 [116.311195  39.867306]
 [116.313675  39.867466]
 [116.319298  39.867794]
 [116.321213  39.870373]
 [116.321175  39.872772]
 [116.321152  39.874977]
 [116.321121  39.877369]
 [116.321236  39.879681]
 [116.324249  39.87978 ]
 [116.324341  39.88176 ]
 [116.324257  39.884212]
 [116.321457  39.884502]]"
57,"[[116.304886  39.882412]
 [116.302437  39.881485]
 [116.299004  39.880524]
 [116.292198  39.879169]
 [116.289749  39.878693]
 [116.287155  39.878197]
 [116.277336  39.874916]
 [116.275154  39.873859]
 [116.272789  39.8727  ]
 [116.268288  39.870514]
 [116.266159  39.86948 ]
 [116.261612  39.867336]
 [116.256943  39.865467]
 [116.254692  39.864563]
 [116.252502  39.863689]
 [116.250351  39.862823]
 [116.247963  39.8619  ]
 [116.245422  39.860847]
 [116.240875  39.858864]
 [116.23806   39.855198]
 [116.237518  39.853168]
 [116.233932  39.850342]
 [116.230011  39.848282]
 [116.221367  39.844635]
 [116.218979  39.844208]
 [116.216362  39.843735]
 [116.213715  39.843254]
 [116.211357  39.842186]
 [116.210747  39.840439]
 [116.211365  39.836452]
 [116.211868  39.834152]
 [116.212219  39.831875]
 [116.212547  39.829597]
 [116.212852  39.82748 ]
 [116.213417  39.823551]
 [116.213478  39.821751]
 [116.212318  39.818455]
 [116.209206  39.815319]
 [116.20623   39.81329 ]
 [116.207664  39.812965]
 [116.208336  39.810776]
 [116.208572  39.810585]]"
58,"[[116.395485  39.856949]
 [116.400986  39.856945]
 [116.394981  39.857254]
 [116.386726  39.857166]
 [116.378403  39.857349]
 [116.377701  39.860531]]"
59,"[[116.412621  39.865257]
 [116.413643  39.868019]
 [116.425247  39.871357]
 [116.437126  39.870708]
 [116.444504  39.873943]
 [116.447258  39.87627 ]
 [116.452766  39.876255]
 [116.459183  39.876228]
 [116.466606  39.876221]
 [116.467743  39.879406]]"
61,"[[116.399719  39.867863]
 [116.403656  39.871754]
 [116.412621  39.872166]
 [116.42083   39.871181]
 [116.430328  39.871059]
 [116.440163  39.870522]
 [116.44342   39.871189]
 [116.450638  39.871498]]"
62,"[[116.446213  39.880535]
 [116.44529   39.884613]
 [116.440659  39.884495]
 [116.43502   39.884338]
 [116.432426  39.884201]
 [116.428612  39.884106]
 [116.420151  39.88599 ]
 [116.413559  39.888344]
 [116.408623  39.888165]
 [116.403893  39.887791]
 [116.399742  39.886635]
 [116.398727  39.884178]
 [116.398376  39.880974]
 [116.395767  39.880901]]"
63,"[[116.355507  39.942253]
 [116.356293  39.944691]
 [116.356361  39.94651 ]
 [116.356186  39.949997]
 [116.355293  39.953625]
 [116.35511   39.95734 ]
 [116.355049  39.959263]
 [116.354958  39.961143]
 [116.354866  39.962994]
 [116.354675  39.966541]
 [116.354584  39.968494]
 [116.354492  39.970501]
 [116.354294  39.97443 ]
 [116.354103  39.978317]
 [116.354004  39.980125]
 [116.353821  39.983654]
 [116.353851  39.986423]
 [116.356911  39.986782]
 [116.360855  39.9869  ]
 [116.365059  39.987034]
 [116.369102  39.987137]
 [116.372269  39.987217]
 [116.375984  39.987225]
 [116.378716  39.987423]
 [116.381126  39.987366]
 [116.383621  39.987495]
 [116.387482  39.987648]
 [116.390404  39.987759]
 [116.397255  39.987926]
 [116.400543  39.988014]
 [116.403496  39.988071]
 [116.406776  39.987968]
 [116.408905  39.988617]
 [116.405487  39.988693]
 [116.398788  39.988472]
 [116.394119  39.988319]
 [116.389885  39.98819 ]
 [116.386093  39.988148]
 [116.383171  39.988117]
 [116.381126  39.989037]
 [116.381149  39.988949]]"
64,"[[116.369698  39.976402]
 [116.369949  39.974133]
 [116.370026  39.972324]
 [116.370033  39.970398]
 [116.370087  39.968224]
 [116.37291   39.967754]
 [116.377357  39.968079]
 [116.382172  39.968185]
 [116.391983  39.96843 ]
 [116.396942  39.96859 ]
 [116.399559  39.968666]
 [116.401917  39.968746]
 [116.406967  39.96888 ]
 [116.409462  39.968941]
 [116.411903  39.968998]
 [116.414337  39.969032]
 [116.419479  39.969143]
 [116.421898  39.969212]
 [116.424316  39.96928 ]
 [116.426888  39.969353]
 [116.42952   39.969418]
 [116.432137  39.969482]
 [116.434555  39.969547]
 [116.43708   39.969051]
 [116.439209  39.967808]
 [116.441277  39.966457]
 [116.443207  39.965183]
 [116.447372  39.962429]
 [116.449348  39.961136]
 [116.451607  39.959507]
 [116.453728  39.958145]
 [116.45784   39.955456]
 [116.459908  39.954105]
 [116.461464  39.952305]
 [116.461693  39.950077]
 [116.461693  39.947983]
 [116.461693  39.945992]
 [116.461693  39.944172]
 [116.461693  39.941814]
 [116.4617    39.939651]
 [116.461708  39.937599]
 [116.461708  39.93544 ]
 [116.461678  39.933575]
 [116.461411  39.929665]
 [116.461037  39.926846]
 [116.46125   39.923851]
 [116.461212  39.920727]
 [116.466194  39.917664]
 [116.469116  39.916515]
 [116.473045  39.915791]
 [116.476341  39.915592]
 [116.480354  39.915462]
 [116.484077  39.915314]
 [116.487701  39.915401]
 [116.49041   39.915455]
 [116.495117  39.915478]
 [116.498169  39.915539]
 [116.502083  39.915611]
 [116.505692  39.915714]
 [116.501854  39.915939]
 [116.498047  39.915871]
 [116.494949  39.915714]
 [116.491333  39.915619]
 [116.488388  39.91555 ]
 [116.48526   39.915646]
 [116.482826  39.915607]
 [116.478317  39.915756]
 [116.474503  39.915993]
 [116.471382  39.91634 ]
 [116.46891   39.916836]
 [116.465721  39.917988]
 [116.462135  39.919231]
 [116.459793  39.919895]
 [116.457443  39.919258]
 [116.455025  39.919281]
 [116.453934  39.91782 ]
 [116.453865  39.919201]
 [116.454041  39.920918]
 [116.457024  39.920368]
 [116.459572  39.919682]
 [116.462059  39.919556]
 [116.462166  39.922554]
 [116.461655  39.924587]
 [116.461922  39.927151]
 [116.461922  39.930527]
 [116.462013  39.93235 ]
 [116.461609  39.933765]
 [116.456367  39.933846]
 [116.455406  39.934837]
 [116.455482  39.935162]
 [116.455452  39.937088]
 [116.455475  39.938946]
 [116.456963  39.941265]
 [116.460922  39.941315]
 [116.462105  39.943188]
 [116.465096  39.943874]
 [116.468414  39.944149]
 [116.469055  39.944294]]"
65,"[[116.468567  39.944431]
 [116.466248  39.943897]
 [116.463898  39.943916]
 [116.462006  39.945538]
 [116.461502  39.945324]
 [116.461502  39.942291]
 [116.46154   39.940319]
 [116.461655  39.935486]
 [116.461624  39.930965]
 [116.461586  39.928806]
 [116.461578  39.926651]
 [116.461578  39.924706]
 [116.461548  39.922295]
 [116.461533  39.920048]
 [116.46167   39.917774]
 [116.461693  39.915821]
 [116.461716  39.911251]
 [116.461708  39.909107]
 [116.461647  39.906857]
 [116.461548  39.902237]
 [116.461487  39.899933]
 [116.461464  39.897713]
 [116.461266  39.895168]
 [116.461189  39.895111]
 [116.461761  39.895916]
 [116.461739  39.898392]
 [116.461952  39.902687]
 [116.462044  39.903996]]"
66,"[[116.417259  39.959435]
 [116.414772  39.959309]
 [116.410271  39.959183]
 [116.407944  39.958813]
 [116.407867  39.955875]
 [116.407982  39.952457]
 [116.407913  39.949654]
 [116.409019  39.948757]
 [116.412987  39.949112]
 [116.415344  39.949196]
 [116.417892  39.949287]
 [116.422623  39.949459]
 [116.425011  39.949535]
 [116.429237  39.949604]
 [116.433334  39.949162]
 [116.437462  39.949455]
 [116.442345  39.949516]
 [116.44487   39.949654]
 [116.44854   39.95237 ]
 [116.450356  39.954025]
 [116.452179  39.955688]
 [116.453964  39.957314]
 [116.455696  39.958889]
 [116.458824  39.96167 ]
 [116.460625  39.963299]
 [116.46257   39.965042]
 [116.464592  39.96685 ]
 [116.466621  39.968666]
 [116.468689  39.970509]
 [116.47068   39.972301]
 [116.472847  39.974255]
 [116.476952  39.977978]
 [116.478859  39.979565]
 [116.480705  39.981277]
 [116.482697  39.983097]
 [116.484657  39.984837]
 [116.486588  39.986622]
 [116.488647  39.988506]
 [116.492882  39.992348]
 [116.49501   39.994221]
 [116.497032  39.996056]
 [116.499054  39.99791 ]
 [116.503189  40.001686]
 [116.505173  40.003502]
 [116.509277  40.007164]]"
68,"[[116.370033  39.976234]
 [116.369789  39.980957]
 [116.369621  39.983822]
 [116.369446  39.986538]
 [116.366806  39.987514]
 [116.361694  39.987431]
 [116.357025  39.98727 ]
 [116.3545    39.987282]
 [116.350418  39.98703 ]
 [116.347244  39.986946]
 [116.344185  39.986847]
 [116.341209  39.986717]
 [116.336647  39.986568]
 [116.334076  39.986412]
 [116.332878  39.988064]
 [116.332748  39.994678]
 [116.33062   39.995495]]"
69,"[[116.340004  39.996849]
 [116.340126  39.994289]
 [116.337593  39.992905]
 [116.332809  39.991745]
 [116.332222  39.986263]
 [116.328346  39.986103]
 [116.323158  39.985939]
 [116.319832  39.985832]
 [116.316788  39.985706]
 [116.316269  39.983398]
 [116.31456   39.982548]
 [116.312752  39.980858]
 [116.311035  39.981335]
 [116.310913  39.983143]
 [116.312439  39.985119]
 [116.313545  39.98518 ]]"
70,"[[116.338409  39.992878]
 [116.341721  39.993   ]
 [116.347496  39.993149]
 [116.351646  39.993294]
 [116.353004  39.991516]
 [116.353058  39.989239]]"
71,"[[116.339371  39.992832]
 [116.340508  39.987823]
 [116.341385  39.986015]
 [116.34417   39.986168]
 [116.349083  39.986492]
 [116.352753  39.986469]
 [116.35363   39.987999]
 [116.353477  39.989201]]"
72,"[[116.350197  40.001102]
 [116.34716   40.000957]
 [116.340492  40.000748]
 [116.338165  40.000526]
 [116.335358  39.997353]
 [116.332695  39.994644]
 [116.33271   39.994244]]"
73,"[[116.338936  39.992886]
 [116.340401  39.99157 ]
 [116.340675  39.987915]
 [116.340752  39.986061]
 [116.344025  39.986153]
 [116.346863  39.986431]
 [116.353424  39.986324]
 [116.353661  39.983208]
 [116.353889  39.979519]
 [116.353859  39.977196]
 [116.353004  39.974148]
 [116.353119  39.972298]
 [116.353218  39.970444]
 [116.353569  39.967106]
 [116.353516  39.961685]
 [116.354637  39.958225]
 [116.355804  39.950584]
 [116.356224  39.947418]
 [116.3554    39.94191 ]
 [116.355598  39.937263]
 [116.355728  39.934967]
 [116.355812  39.931507]
 [116.356041  39.925922]
 [116.356178  39.922943]
 [116.356705  39.915203]
 [116.356514  39.910736]
 [116.35833   39.899025]
 [116.36319   39.899158]
 [116.363281  39.896198]
 [116.363319  39.894283]
 [116.363487  39.89188 ]
 [116.363503  39.888485]
 [116.36351   39.887886]]"
74,"[[116.363441  39.908722]
 [116.363327  39.911869]
 [116.363289  39.913986]
 [116.360695  39.914024]
 [116.358376  39.913902]
 [116.3563    39.91296 ]
 [116.356331  39.910393]
 [116.356461  39.906654]
 [116.356712  39.901073]
 [116.356163  39.899185]
 [116.352974  39.898327]
 [116.348564  39.895546]
 [116.348709  39.891132]
 [116.34877   39.887962]
 [116.349052  39.879112]
 [116.349213  39.877197]
 [116.348877  39.870193]
 [116.354179  39.868382]
 [116.358986  39.868435]
 [116.361504  39.86869 ]
 [116.368469  39.869724]
 [116.370811  39.86993 ]
 [116.377785  39.870434]
 [116.383026  39.870667]
 [116.385971  39.870529]
 [116.387886  39.866619]
 [116.38739   39.864887]
 [116.386856  39.862095]
 [116.38678   39.857662]
 [116.386749  39.855621]
 [116.386871  39.85313 ]
 [116.386848  39.850044]
 [116.386703  39.848083]
 [116.386398  39.845509]
 [116.38652   39.842827]
 [116.388245  39.841404]
 [116.386627  39.841625]
 [116.38662   39.843857]
 [116.386658  39.846783]
 [116.386879  39.848972]
 [116.386955  39.852203]]"
75,"[[116.374428  39.867233]
 [116.375099  39.870167]
 [116.378433  39.870468]
 [116.381783  39.870739]
 [116.384827  39.870945]
 [116.391899  39.871342]
 [116.398758  39.871639]
 [116.405312  39.871994]
 [116.416061  39.871819]
 [116.421707  39.871216]
 [116.427551  39.87122 ]
 [116.432457  39.870949]
 [116.436768  39.870705]
 [116.440857  39.870502]
 [116.445518  39.871883]
 [116.450455  39.871433]
 [116.453041  39.87138 ]
 [116.455475  39.871384]
 [116.460587  39.871296]
 [116.460693  39.869087]
 [116.459587  39.867138]
 [116.459938  39.865097]
 [116.463829  39.862961]]"
76,"[[116.461281  39.941364]
 [116.45739   39.941338]
 [116.452965  39.941273]
 [116.448982  39.941265]
 [116.445038  39.941231]
 [116.442329  39.941223]
 [116.439926  39.941208]
 [116.437263  39.94125 ]
 [116.434502  39.941315]
 [116.433968  39.943504]
 [116.434044  39.945511]
 [116.433388  39.949036]
 [116.429245  39.949829]]"
78,"[[116.339493  39.992821]
 [116.338188  39.992901]
 [116.33564   39.992847]
 [116.333351  39.992783]
 [116.330193  39.99268 ]
 [116.322334  39.99247 ]
 [116.326126  39.989471]
 [116.327042  39.989555]
 [116.327713  39.992569]
 [116.332245  39.992695]
 [116.33522   39.992748]
 [116.336327  39.99276 ]]"
79,"[[116.349922  39.986553]
 [116.353462  39.984009]
 [116.353607  39.982155]
 [116.353821  39.976959]
 [116.354164  39.978992]
 [116.354034  39.980984]
 [116.353958  39.982876]]"
80,"[[116.34021   39.993561]
 [116.340065  39.996117]
 [116.339928  39.999695]
 [116.340584  40.005779]
 [116.341896  40.008083]
 [116.34362   40.011532]
 [116.344627  40.013538]
 [116.349266  40.015167]
 [116.352028  40.014145]
 [116.352165  40.011917]
 [116.352226  40.010891]]"
81,"[[116.337265  39.992836]
 [116.340157  39.994606]
 [116.340027  39.997849]
 [116.339958  40.000031]
 [116.338799  40.001892]
 [116.339867  40.00396 ]
 [116.34111   40.006813]
 [116.345879  40.007603]
 [116.348663  40.007683]
 [116.348793  40.006481]]"
83,"[[116.409027  39.92448 ]
 [116.396194  39.92334 ]
 [116.393188  39.923203]
 [116.386421  39.922562]
 [116.379425  39.922646]
 [116.377388  39.920509]
 [116.374237  39.914783]
 [116.366936  39.914192]
 [116.364372  39.914116]
 [116.360565  39.913982]
 [116.356125  39.914112]
 [116.353096  39.914013]
 [116.348671  39.913979]]"
84,"[[116.237778  39.903759]
 [116.247429  39.90382 ]
 [116.252357  39.903809]
 [116.25322   39.907299]
 [116.263435  39.907402]
 [116.269272  39.907444]]"
85,"[[116.374413  39.890759]
 [116.37429   39.88483 ]
 [116.374359  39.879192]
 [116.374329  39.872787]
 [116.380981  39.870541]
 [116.3899    39.871246]]"
87,"[[116.342148  39.900391]
 [116.342361  39.897987]
 [116.348396  39.896389]
 [116.348663  39.891315]
 [116.349007  39.873535]
 [116.34726   39.857582]
 [116.346237  39.849373]
 [116.349716  39.850571]]"
88,"[[116.201462  39.800289]
 [116.205086  39.811676]
 [116.21357   39.821323]
 [116.212044  39.834076]
 [116.212013  39.841724]
 [116.217331  39.843853]
 [116.228714  39.847427]
 [116.237617  39.852955]
 [116.243103  39.859879]
 [116.253677  39.864071]
 [116.265594  39.869095]
 [116.276291  39.874187]
 [116.277092  39.878834]
 [116.275963  39.881546]
 [116.275345  39.883537]
 [116.274391  39.887722]
 [116.274277  39.889954]
 [116.274277  39.893692]
 [116.277618  39.896832]
 [116.280052  39.896885]
 [116.286911  39.896969]
 [116.295425  39.896946]
 [116.298927  39.896973]]"
90,"[[116.310028  39.891094]
 [116.310295  39.886581]
 [116.305939  39.882675]
 [116.294319  39.879578]
 [116.281349  39.8769  ]
 [116.280785  39.870125]
 [116.282898  39.86018 ]
 [116.28347   39.850422]
 [116.285866  39.840576]
 [116.286255  39.83844 ]
 [116.286217  39.836212]
 [116.280846  39.835758]
 [116.272919  39.834984]
 [116.272057  39.831074]
 [116.270821  39.8265  ]]"
91,"[[116.281601  39.869747]
 [116.279282  39.872883]
 [116.28257   39.866787]
 [116.29081   39.865734]
 [116.293221  39.865917]]"
92,"[[116.281265  39.870136]
 [116.279549  39.872791]
 [116.276962  39.879604]
 [116.27478   39.885406]
 [116.274475  39.887566]
 [116.277565  39.88942 ]
 [116.280235  39.889477]
 [116.285408  39.889484]
 [116.294052  39.889545]
 [116.295135  39.893433]
 [116.297607  39.896839]]"
93,"[[116.546532  39.923706]
 [116.540298  39.923588]
 [116.537361  39.923664]
 [116.534248  39.923695]
 [116.531143  39.923744]
 [116.52256   39.923809]
 [116.520798  39.919964]
 [116.52092   39.9174  ]
 [116.521454  39.915009]
 [116.522102  39.912148]
 [116.522591  39.90905 ]
 [116.519958  39.908188]
 [116.515213  39.908047]
 [116.508263  39.908138]
 [116.505417  39.908176]
 [116.502258  39.908104]
 [116.497368  39.908161]
 [116.491394  39.908234]
 [116.488945  39.908253]
 [116.486488  39.908245]
 [116.483063  39.908298]
 [116.480194  39.908321]
 [116.477051  39.908352]
 [116.47467   39.908413]
 [116.470055  39.908394]
 [116.466164  39.908413]
 [116.46154   39.90844 ]
 [116.453827  39.908516]
 [116.448929  39.908504]
 [116.440804  39.908573]
 [116.431747  39.908588]
 [116.427544  39.908508]
 [116.424576  39.908455]
 [116.422226  39.908421]
 [116.4198    39.908386]
 [116.412674  39.908253]
 [116.4067    39.908054]
 [116.403488  39.908028]
 [116.403214  39.910309]
 [116.403008  39.914536]
 [116.402908  39.916405]
 [116.402794  39.919392]
 [116.402672  39.921803]
 [116.402573  39.923141]]"
94,"[[116.393806  39.948692]
 [116.389565  39.949139]
 [116.385109  39.949112]
 [116.380348  39.949646]
 [116.379608  39.951992]
 [116.379532  39.956081]
 [116.379524  39.957764]]"
95,"[[116.307472  39.9431  ]
 [116.310585  39.941086]
 [116.310402  39.943207]
 [116.31012   39.946041]
 [116.3097    39.951672]
 [116.309334  39.955803]
 [116.309067  39.957676]
 [116.308601  39.95974 ]
 [116.324364  39.967155]
 [116.336533  39.967567]
 [116.341095  39.967594]
 [116.345894  39.967628]
 [116.350815  39.967659]
 [116.365601  39.967697]
 [116.378807  39.968018]
 [116.381386  39.97625 ]
 [116.379631  39.983688]
 [116.379051  39.985641]
 [116.374817  39.995445]
 [116.372017  39.999058]
 [116.370316  40.001335]
 [116.368752  40.003437]
 [116.367363  40.00539 ]
 [116.365547  40.007957]
 [116.363091  40.011333]
 [116.359024  40.016617]
 [116.355911  40.020985]
 [116.356651  40.023472]
 [116.352882  40.025276]]"
96,"[[116.330978  39.992855]
 [116.32476   39.992542]
 [116.318642  39.992298]
 [116.316261  39.992188]
 [116.315987  39.989292]
 [116.316154  39.986988]
 [116.316223  39.98481 ]
 [116.316216  39.982677]
 [116.316452  39.981075]]"
98,"[[116.313774  40.024506]
 [116.314087  40.021263]
 [116.316109  40.017887]
 [116.317902  40.015148]
 [116.318352  40.01157 ]
 [116.315369  40.005322]
 [116.319168  40.007744]
 [116.318748  40.010639]
 [116.318687  40.012627]
 [116.329453  40.013206]
 [116.332565  40.012154]
 [116.334717  40.010197]
 [116.336937  40.005245]
 [116.337082  40.002125]
 [116.337196  39.999573]
 [116.337349  39.996952]
 [116.337219  39.993938]
 [116.340271  39.992893]
 [116.340637  39.987503]
 [116.342354  39.98608 ]
 [116.344635  39.986412]
 [116.348915  39.986645]
 [116.353188  39.98679 ]
 [116.365257  39.987167]
 [116.367851  39.987267]
 [116.375015  39.987473]]"
99,"[[116.377472  39.987549]
 [116.380066  39.987625]
 [116.397148  39.988136]
 [116.399658  39.988174]
 [116.406723  39.988411]
 [116.416801  39.988705]
 [116.421577  39.988838]
 [116.429268  39.98904 ]
 [116.431755  39.98912 ]
 [116.434288  39.989235]
 [116.444176  39.987003]
 [116.450996  39.983486]
 [116.453056  39.982082]
 [116.455025  39.980778]
 [116.458969  39.978127]
 [116.460922  39.976845]
 [116.464203  39.974632]
 [116.469666  39.972439]
 [116.476349  39.978516]
 [116.478653  39.979797]
 [116.480675  39.978466]
 [116.483627  39.976471]
 [116.486351  39.974709]
 [116.488556  39.973248]
 [116.490013  39.973801]
 [116.492386  39.973888]
 [116.490845  39.97398 ]
 [116.48983   39.975513]
 [116.489876  39.972866]
 [116.49205   39.971905]
 [116.49501   39.971889]
 [116.497643  39.971886]
 [116.49955   39.972958]
 [116.499466  39.980179]
 [116.503502  39.980331]
 [116.502983  39.975773]
 [116.50174   39.971863]
 [116.498833  39.971924]
 [116.493568  39.971992]
 [116.490303  39.972157]
 [116.48774   39.973854]
 [116.484917  39.975754]
 [116.482414  39.977463]]"
100,"[[116.472809  39.983727]
 [116.468338  39.980278]
 [116.46534   39.977707]
 [116.46273   39.976067]
 [116.450821  39.983711]
 [116.448578  39.985184]
 [116.440788  39.98896 ]
 [116.441071  39.985943]
 [116.438599  39.982109]
 [116.43161   39.977398]
 [116.428886  39.977268]
 [116.424942  39.977211]
 [116.424606  39.975296]
 [116.424637  39.973351]
 [116.424774  39.970352]
 [116.422401  39.96954 ]]"
